date ,plot #,sex,weight_g,species,calibrated
2013-07-16,2,F,NULL,DM,TRUE
2013-07-16,7,M,33,DM,TRUE
2013-07-16,3,M,NULL,DM,TRUE
2013-07-16,1,M,NULL,DM,TRUE
2013-07-18,3,M,40,DM,TRUE
2013-07-18,7,M,48,DM,TRUE
2013-07-18,4,F,29,DM,TRUE
2013-07-18,6,F,37,DM,TRUE
2013-08-19,8,F,52,DO,TRUE
2013-10-17,3,F,33,DO,TRUE
2013-10-17,3,F,50,DO,TRUE
2013-12-10,9,F,40,DO,TRUE
2013-12-10,1,M,45,DO,TRUE
2013-12-11,8,F,41,DO,TRUE
2013-11-12,9,F,117,DS,TRUE
2013-11-13,11,F,126,DS,TRUE
2013-11-13,17,M,132,DS,FALSE
2013-11-13,14,F,113,DS,FALSE
2013-11-13,11,F,122,DS,TRUE
2013-11-13,4,F,107,DS,TRUE
2013-11-13,4,F,115,DS,TRUE
2014-01-09,1,M,40,DM,TRUE
2014-01-09,1,F,36,DM,TRUE
2014-03-13,1,F,51,DM,TRUE
2014-03-13,1,F,44,DM,TRUE
2014-03-13,1,F,146,DS,TRUE
2014-01-08,2,NULL,NULL,NA,TRUE
2014-01-08,2,M,44,DM,TRUE
2014-01-08,2,F,7,PF,TRUE
2014-01-08,2,M,45,DM,TRUE
2014-01-08,2,NULL,NULL,OT,TRUE
2014-01-08,2,M,157,DS,FALSE
2014-01-08,2,NULL,NULL,OX,TRUE
2014-02-18,2,M,218,NA,FALSE
2014-02-18,2,F,7,PF,TRUE
2014-02-18,2,M,52,DM,TRUE
2015-03-11,3,M,8,PF,TRUE
2015-04-08,3,F,NULL,NA,TRUE
2015-05-06,3,NULL,NULL,NULL,TRUE
2015-05-18,3,F,182,NA,TRUE
2015-06-09,3,F,29,OT,TRUE
2015-07-08,3,F,115,NA,TRUE
2015-07-08,3,M,190,NA,TRUE
1978-01-08,4,F,37,DM,TRUE
1978-01-08,4,M,NULL,DM,TRUE
1978-01-08,4,F,48,DM,TRUE
1978-01-08,4,M,52,DO,TRUE
1978-01-08,4,M,35,OL,TRUE
